구분,대여소번호,대여소명,대여소 주소,거치대수,위도,경도
강남구,2301, 현대고등학교 건너편,서울특별시 강남구 압구정로 134,10,37.524071,127.02179
강남구,2302, 교보타워 버스정류장(신논현역 3번출구 후면),서울특별시 강남구 봉은사로 지하 102,10,37.505581,127.024277
강남구,2303, 논현역 7번출구,서울특별시 강남구 학동로 지하 102,15,37.511517,127.021477
강남구,2304, 신영 ROYAL PALACE 앞,서울특별시 강남구 언주로 626,10,37.512527,127.035835
강남구,2305, MCM 본사 직영점 앞,서울특별시 강남구 언주로 734,10,37.520641,127.034508
강남구,2306, 압구정역 2번 출구 옆,서울특별시 강남구 압구정로 지하 172,30,37.527122,127.028717
강남구,2307, 압구정 한양 3차 아파트,서울특별시 강남구 압구정로 321,10,37.528614,127.038559
강남구,2308, 압구정파출소 앞,서울특별시 강남구 압구정로 311,14,37.529301,127.035599
강남구,2309, 청담역(우리들병원 앞),서울특별시 강남구 학동로 443,10,37.518902,127.049385
강남구,2310, 청담동 맥도날드 옆(위치),서울특별시 강남구 학동로 지하 508,10,37.523613,127.040176
강남구,2311, 학동로 래미안 아파트 앞,서울특별시 강남구 학동로 지하 508,10,37.517773,127.043022
강남구,2312, 청담역 13번 출구 앞,서울특별시 강남구 영동대로 703,10,37.52058,127.056328
강남구,2313, 금원빌딩 앞,서울특별시 강남구 도산대로 539,10,37.525116,127.052467
강남구,2314, 청담나들목입구,서울특별시 강남구 영동대로128길 59,10,37.521275,127.061035
강남구,2315, 봉은사역 5번출구 옆,서울특별시 강남구 봉은사로 지하 601,10,37.514248,127.061119
강남구,2316, 삼성역 8번출구,서울특별시 강남구 영동대로 502,10,37.509575,127.063408
강남구,2317, 삼성도로공원,서울특별시 강남구 영동대로112길 66,10,37.515888,127.0662
강남구,2318, 삼성중앙역4번출구(문화센터더 리빌),서울특별시 강남구 봉은사로 531,15,37.513577,127.055031
강남구,2319, 포스코4거리 서측(수협 삼성동 지점),서울특별시 강남구 테헤란로 435,10,37.506607,127.05468
강남구,2320, 도곡역 대치지구대 방향,서울특별시 강남구 남부순환로 지하 2814,10,37.491928,127.056969
강남구,2321, 학여울역 사거리,서울특별시 강남구 남부순환로 지하 3104,10,37.496117,127.069443
강남구,2322, 삼성역 3번 출구,서울특별시 강남구 테헤란로 534,15,37.508091,127.063103
강남구,2323, 주식회사 오뚜기 정문 앞,서울특별시 강남구 영동대로 308,10,37.502213,127.067207
강남구,2324, 천주교 대치 2동 교회 옆,서울특별시 강남구 도곡로 540,10,37.500439,127.066223
강남구,2325, 대치동 버거킹대치점,서울특별시 강남구 도곡로 447,10,37.49865,127.059319
강남구,2326, 대치동 삼성로,서울특별시 강남구 삼성로 350,10,37.502396,127.0588
강남구,2327, 뱅뱅사거리 랜드마크타워 앞,서울특별시 강남구 강남대로 308,15,37.490551,127.031464
강남구,2328, 르네상스 호텔 사거리 역삼지하보도 7번출구 앞,서울특별시 강남구 언주로 506,10,37.503586,127.042641
강남구,2329, 르네상스호텔사거리 역삼지하보도 2번출구,서울특별시 강남구 테헤란로 지하 156,10,37.502357,127.04319
강남구,2330, 스타벅스 앞,서울특별시 강남구 도곡로 183,10,37.492199,127.039459
강남구,2331, 동영문화센터앞,서울특별시 강남구 언주로 337,20,37.498051,127.044601
강남구,2333, 양재역 3번출구 주변,서울특별시 강남구 강남대로 240,15,37.485157,127.034073
강남구,2334, 8.삼호@ 2동 ( 간선도로),서울특별시 강남구 선릉로 지하 228,15,37.493759,127.045898
강남구,2335, 3호선 매봉역 3번출구앞,서울특별시 강남구 남부순환로 2748,10,37.486767,127.046761
강남구,2336, 강남세브란스교차로  래미안그레이튼 104동 앞,서울특별시 강남구 선릉로 지하 228,10,37.494236,127.047462
강남구,2337, 대모산입구역 2번출구 앞,서울특별시 강남구 영동대로 101,15,37.492077,127.071976
강남구,2339, 현대아파트 정문 앞,서울특별시 강남구 언주로 107,10,37.483261,127.052299
강남구,2340, 삼호물산버스정류장(23370) 옆,서울특별시 강남구 논현로 82,15,37.477509,127.045174
강남구,2341, 일원역 4~5번 출구 사이,서울특별시 강남구 일원로 127,10,37.483311,127.084938
강남구,2342, 대청역 1번출구  뒤,서울특별시 강남구 개포로 623,10,37.494007,127.079514
강남구,2343, 세곡사거리 대왕파출소 앞,서울특별시 강남구 헌릉로 623,10,37.465317,127.107727
강남구,2344, 리엔파크 2단지 앞,서울특별시 강남구 헌릉로590길 10,10,37.465061,127.101196
강남구,2347, 두산건설 본사,서울특별시 강남구 언주로 726,15,37.518639,127.0354
강남구,2348, 포스코사거리(기업은행),서울특별시 강남구 테헤란로 501,10,37.507233,127.056854
강남구,2350, 래미안그레이튼102동앞,서울특별시 강남구 선릉로69길 19,10,37.494823,127.047905
강남구,2351, 청소년수련관(수영장)앞,서울특별시 강남구 광평로 144,15,37.483879,127.089027
강남구,2352, 서울본부세관(건설회관 앞),서울특별시 강남구 언주로 721,10,37.51759,127.035027
강남구,2353, 강남구청역 2번출구 뒤,서울특별시 강남구 학동로 342,10,37.516811,127.040474
강남구,2354, 청담역 2번출구,서울특별시 강남구 영동대로 647,5,37.519787,127.056763
강남구,2355, 삼성역 5~6번 출구 사이,서울특별시 강남구 봉은사로 524,20,37.509121,127.062309
강남구,2356, 강남구청,서울특별시 강남구 학동로 지하 346,10,37.51807,127.047119
강남구,2357, 르네상스호텔사거리 역삼지하보도 3번출구 앞 (더 오번 빌딩 명동칼국수 앞),서울특별시 강남구 언주로89길 7,15,37.501949,127.04277
강남구,2358, 구룡초사거리 (현대아파트10동 앞 ),서울특별시 강남구 개포로 303,10,37.481384,127.053917
강남구,2359,국립국악중고교 정문 맞은편,서울특별시 강남구 논현로10길 29,10,37.475605,127.050377
강남구,2360, 도곡1동 주민센터 교차로,서울특별시 강남구 도곡로 205,15,37.492809,127.041389
강남구,2361, 압구정역 교차로,서울특별시 강남구 신사동 580-7,10,37.526844,127.028259
강남구,2362, 신사동 가로수길 입구,서울특별시 강남구 신사동 501-5,10,37.517635,127.022453
강남구,2364, 도산대로 렉서스 앞,서울특별시 강남구 도산대로 229 ,10,37.52124,127.031898
강남구,2365, K+ 타워 앞,서울특별시 강남구 도산대로 333 ,15,37.5233,127.038475
강남구,2368, 도곡동 경남아파트 건너편,서울특별시 강남구 도곡동 874-1,10,37.489342,127.041298
강남구,2369, KT선릉타워,서울특별시 강남구 대치동 1011,20,37.505428,127.052872
강남구,2370, 한티역 3번출구,서울특별시 강남구 대치동 1026,20,37.496552,127.054298
강남구,2371, 한국우편사업진흥원,서울특별시 강남구 언주로 651,10,37.514748,127.035133
강남구,2372, 대치역 사거리,서울특별시 강남구 삼성로 156 ,10,37.494499,127.063797
강남구,2373, 개포동역 사거리,서울특별시 강남구 개포동 181-3,20,37.489277,127.065575
강남구,2375, 수서역 1번출구 앞,서울특별시 강남구 수서동 728,10,37.48735,127.100998
강남구,2377, 수서역 5번출구 뒤,서울특별시 강남구 수서동 724-4,10,37.486835,127.102753
강남구,2382, 역삼동 sk뷰 501동앞,서울특별시 강남구 역삼로 315-1,11,37.501343,127.050468
강남구,2383, 보금자리정원,서울특별시 강남구 헌릉로569길 39-6,10,37.466328,127.094887
강남구,2385, 학동역,서울특별시 강남구 학동로 지하 180,10,37.51395,127.030151
강남구,2387, 래미안강남힐즈 사거리,서울특별시 강남구 자곡로 101,10,37.472454,127.096077
강동구,1001, 광진교 남단 사거리(디지털프라자앞),서울특별시 강동구 구천면로 171,15,37.541805,127.124718
강동구,1002, 해공공원(천호동),서울특별시 강동구 올림픽로 702,10,37.545219,127.125916
강동구,1003, 해공도서관앞,서울특별시 강동구 올림픽로 702,20,37.543915,127.125458
강동구,1004, 삼성광나루아파트 버스정류장,서울특별시 강동구 상암로3길 77,10,37.553349,127.12886
강동구,1006, 롯데캐슬 115동앞,서울특별시 강동구 양재대로 1665,15,37.55492,127.142799
강동구,1007,암사동 선사유적지,서울특별시 강동구 올림픽로 875,16,37.559063,127.130646
강동구,1008, 암사역 3번출구(국민은행앞),서울특별시 강동구 올림픽로 지하 776,10,37.549549,127.127151
강동구,1009, 천호역4번출구(현대백화점),서울특별시 강동구 천호대로 지하 997,20,37.538658,127.124214
강동구,1010, 강동세무서,서울특별시 강동구 천호대로 1139,20,37.534481,127.138344
강동구,1011, LIGA 아파트 앞,서울특별시 강동구 천호대로 1120,20,37.534771,127.135239
강동구,1012, 서울 상운차량,서울특별시 강동구 올림픽로 610,15,37.536026,127.122726
강동구,1013, 강동구청역 1번 출입구,서울특별시 강동구 올림픽로 지하 550,15,37.530773,127.120926
강동구,1014, 강동구평생학습관앞,서울특별시 강동구 고덕로 295,15,37.5508,127.142624
강동구,1015, 샛마을 근린공원,서울특별시 강동구 구천면로 431-2,13,37.550079,127.146912
강동구,1016, 해뜨는 주유소옆 리엔파크 109동앞,서울특별시 강동구 상일로 152,10,37.559399,127.171158
강동구,1017, 맥도날드(길동),서울특별시 강동구 천호대로 1207,20,37.535473,127.145172
강동구,1018, 둔촌 주공 GS 맞은편,서울특별시 강동구 양재대로 1330,20,37.524681,127.135406
강동구,1019, 다성이즈빌아파트(호원대 대각선 맞은편),서울특별시 강동구 성내로 91,10,37.526825,127.130028
강동구,1020, 강동경찰서,서울특별시 강동구 성내로 57,15,37.52829,127.126801
강동구,1021, 강일동 리슈빌 빌딩앞,서울특별시 강동구 아리수로 419,15,37.564301,127.17395
강동구,1022, 길동 사거리(초소앞),서울특별시 강동구 양재대로 1441,20,37.533764,127.138031
강동구,1023, 한국종합기술사옥 앞,서울특별시 강동구 상일동 504 ,15,37.549999,127.17469
강동구,1024,  강동구청 앞,서울특별시 성내동 546-3 ,10,37.529251,127.123108
강동구,1025, 상일초등학교,서울특별시  상일동 440-3,10,37.546696,127.172546
강동구,1026, 대명초교 입구 교차로,서울특별시 명일동 59,14,37.546631,127.155884
강동구,1027, 프라자 아파트 앞,서울특별시 길동 176-3,20,37.535999,127.147697
강동구,1028, 포레스 주상복합 빌딩,서울특별시 성내동 119-2,10,37.5331,127.12278
강동구,1029, 롯데 시네마,서울특별시 성내동  44-1,10,37.536541,127.125397
강동구,1030, 미호 플랜트 앞,서울특별시 성내동 478,15,37.527061,127.12207
강동구,1031, 암사동 CBIS,서울특별시 암사동 440-13,15,37.555851,127.129898
강동구,1032, 선사고등학교,서울특별시 암사동 445,20,37.556728,127.136208
강동구,1033, 고덕동 아남아파트,서울특별시 고덕동 673,10,37.557991,127.144707
강동구,1034, 고덕동 래미안 힐스테이트,서울특별시 고덕동 603,15,37.561909,127.150749
강동구,1035, 고덕역 4번출구,서울특별시 명일동 46-5,20,37.555016,127.155273
강동구,1036, 고덕동 주양쇼핑,서울특별시 명일동 48-2,10,37.551998,127.153297
강동구,1037, 강일 6단지,서울특별시 강일동 448-2,10,37.562588,127.177612
강동구,1038, 강일 다솜 어린이 공원,서울특별시 강일동 333-2,10,37.568668,127.174797
강동구,1039, 고덕초등학교,서울특별시 고덕동 215,7,37.561279,127.167801
강동구,1040, 강일동 에너지 마루,서울특별시 고덕동 375,15,37.5672,127.16346
강동구,1041, 묘곡초등학교,서울특별시 고덕동 499-2,10,37.559196,127.153297
강동구,1042, 강일 2.5단지 사이,서울특별시 강일동 63-20,10,37.568562,127.177002
강동구,1044, 굽은다리역,서울특별시  양재대로 1572,15,37.545399,127.142601
강북구,1501,미아역 3번4번 출구 사이,서울특별시 강북구 도봉로 196,9,37.62608,127.026482
강북구,1503, 이디야 커피 수유역점 앞,서울특별시 강북구 도봉로 355,12,37.639278,127.026756
강북구,1504, 다이소 삼양시장점,서울특별시 강북구 삼양로 234,10,37.624157,127.018623
강북구,1506, 강북문화예술회관,서울특별시 강북구 삼각산로 85,20,37.640327,127.013359
강북구,1509, 서울북부수도사업소,서울특별시 강북구 한천로 935,10,37.634377,127.035751
강북구,1510, 번동주공5단지 관리사무소 앞,서울특별시 강북구 오현로25마길 27,10,37.633717,127.035515
강북구,1511, 번동 금호어울림아파트102동앞,서울특별시 강북구 오현로31길 85-7,9,37.631123,127.036034
강북구,1512, 강북중학교 앞,서울특별시 강북구 한천로150길 67,20,37.644737,127.026566
강북구,1513, 강북구청 뒷편,서울특별시 강북구 도봉로89길 13,20,37.639648,127.025124
강북구,1514, 강북구청 사거리 버스정류소 앞,서울특별시 강북구 한천로 1009,10,37.638805,127.028358
강북구,1515, 송천동 주민센터,서울특별시 강북구 솔샘로 284,10,37.618286,127.024048
강북구,1516, 우이초등학교 후문 옆,서울특별시 강북구 삼양로99길 33,10,37.638706,127.015907
강북구,1518, SK telecom(수유직영점) 앞,서울특별시 강북구 삼양로 439,10,37.643085,127.016167
강북구,1519, 세븐일레븐 수유장미원점 앞,서울특별시 강북구 삼양로 474,10,37.645451,127.015617
강북구,1520, 성실교회,서울특별시 강북구 노해로 50,10,37.639862,127.022789
강북구,1522, 월드전기조명인테리어(우이동),서울특별시 도봉구 삼양로 574,10,37.654472,127.012756
강북구,1525, 미아동 복합청사,서울특별시 강북구 솔매로49길 14,10,37.62714,127.026695
강북구,1526, 수유동 채선당앞,서울특별시 강북구 수유동 140,8,37.641739,127.024628
강북구,1527, 미아역 1번 출구 뒤,서울특별시 강북구 미아동 194-1,10,37.627335,127.026054
강북구,1528, 삼각산동 주민센터,서울특별시 미아동 813-8,10,37.615036,127.020699
강북구,1529, 미아동 한국전력공사,서울특별시 미아동 194-1,15,37.63018,127.02491
강북구,1530, 광산사거리,서울특별시 강북구 노해로 87 ,10,37.643551,127.022346
강북구,1531, 미아사거리 1번 출구,서울특별시 강북구 미아동 66-1,10,37.613956,127.030251
강북구,1532, 번3동 주민센터 교차로,서울특별시 강북구 번동 2-2,10,37.626354,127.047447
강북구,1533,번동 주공3 4단지 교차로,서울특별시 강북구 번동 254,10,37.629917,127.040916
강북구,1534, 북서울 꿈의 숲 동문,서울특별시 강북구 번동 105,20,37.619637,127.044533
강북구,1535, 효성인텔리안 앞,서울특별시 수유동 230-7,10,37.636292,127.023376
강북구,1536, 번동 두산위브 101동 옆,서울특별시 번동 386-17,20,37.636261,127.032173
강북구,1538, 솔밭공원역,서울특별시 강북구 삼양로 595,8,37.656158,127.013138
강북구,1539, 4.19민주묘지역,서울특별시 강북구 삼양로 519,10,37.649673,127.013451
강북구,1541, 삼양역,서울특별시 강북구 삼양로 263,10,37.62653,127.018059
강서구,1101, 개화동상사마을종점 버스정류장,서울특별시 강서구 개화동로5길 3-8,10,37.581612,126.798599
강서구,1102, 방화사거리 마을버스 버스정류장,서울특별시 강서구 양천로17길 6,10,37.573643,126.811806
강서구,1103, 방화역 4번출구앞,서울특별시 강서구 금낭화로 135,10,37.577221,126.812195
강서구,1105, 방화근린공원,서울특별시 강서구 금낭화로 176,10,37.582447,126.812035
강서구,1106, 신방화사거리,서울특별시 강서구 방화대로 342,10,37.573032,126.816452
강서구,1108, 공항시장역 1번출구,서울특별시 강서구 방화동로 지하 30,8,37.56356,126.81015
강서구,1109, 공항시장역 4번출구,서울특별시 강서구 방화동로 지하 30,6,37.563347,126.810486
강서구,1110, 공항중학교앞,서울특별시 강서구 방화대로 241,10,37.562683,126.816238
강서구,1111, 마곡엠밸리6_7단지 마곡중학교,서울특별시 강서구 마곡중앙5로 58,15,37.566982,126.8218
강서구,1112, 마곡엠밸리4단지 정문,서울특별시 강서구 마곡서로 175,15,37.568577,126.824776
강서구,1113, 서남환경공원 버스정류장,서울특별시 강서구 양천로 201,15,37.573093,126.822899
강서구,1114, 서남물재생센터 버스정류장,서울특별시 강서구 양천로 200,15,37.572781,126.826279
강서구,1115, 등촌역 1번출구옆,서울특별시 강서구 공항대로59길 8,10,37.551666,126.86409
강서구,1117, 스타벅스앞,서울특별시 강서구 공항대로 329,10,37.558197,126.844261
강서구,1118, 증미역 3번출구뒤(등촌두산위브센티움오피스텔),서울특별시 강서구 양천로 지하 560,10,37.557461,126.861458
강서구,1119, 염창동 한마음아파트앞(염창동 빛나는 음악학원앞),서울특별시 강서구 양천로 637,6,37.554253,126.867561
강서구,1120, 대림경동아파트앞,서울특별시 강서구 허준로 121,10,37.565189,126.853996
강서구,1121, 가양레포츠센터앞,서울특별시 강서구 양천로61길 101,15,37.559479,126.86438
강서구,1122, 황금내근린공원,서울특별시 강서구 허준로 221-40,10,37.561932,126.863869
강서구,1123, 공암나루근린공원 관리사무소옆,서울특별시 강서구 강서로80길 117,15,37.57048,126.849503
강서구,1124, 발산역 6번출구옆(다이소앞),서울특별시 강서구 공항대로 280,10,37.557968,126.838287
강서구,1125, 명덕고교입구(영종빌딩),서울특별시 강서구 강서로 304,10,37.552914,126.836571
강서구,1126, 우장산역 1번출구옆(우장산아이파크105동앞),서울특별시 강서구 강서로 지하 262,7,37.548908,126.836563
강서구,1127, 화곡역(에이스정형외과앞) 버스정류장,서울특별시 강서구 화곡로 157,10,37.540981,126.838547
강서구,1128, 화곡역 6번출구,서울특별시 강서구 화곡로 지하 168,10,37.541412,126.840225
강서구,1129, 화곡역 1번 출구 앞,서울특별시 강서구 화곡로 지하 168,10,37.542099,126.840218
강서구,1130, 화곡본동시장 버스정류장,서울특별시 강서구 화곡로 196,7,37.542751,126.842621
강서구,1131, 꿈돌이공원 앞,서울특별시 강서구 화곡로 232,8,37.546444,126.845459
강서구,1132, 등촌역 7번출구,서울특별시 강서구 공항대로 지하 529,10,37.551109,126.863708
강서구,1135, 강서구의회,서울특별시 강서구 등촌로 185,10,37.546532,126.862549
강서구,1136, 등촌2파출소,서울특별시 강서구 등촌로 167,10,37.544788,126.862
강서구,1137, 등촌2동주민센터,서울특별시 강서구 등촌로 143,10,37.541649,126.863365
강서구,1139, 용문사 버스정류장,서울특별시 강서구 등촌로 95,8,37.537891,126.863396
강서구,1140, 목동사거리 버스정류장,서울특별시 강서구 등촌로 19,15,37.531399,126.863609
강서구,1141, 곰달래 문화복지센터 1-1,서울특별시 강서구 강서로5길 50,10,37.52906,126.84848
강서구,1145, 곰달래 문화복지센터 1-2,서울특별시 강서구 강서로5길 50,10,37.528919,126.848083
강서구,1146, 곰달래사거리,서울특별시 강서구 곰달래로 51,10,37.530338,126.838257
강서구,1148, 볏골공원,서울특별시 강서구 까치산로4길 22,10,37.54147,126.84478
강서구,1149, 신방화역환승주차장,서울특별시 강서구 마곡서1로 111-12,13,37.567284,126.818275
강서구,1150, 송정역 1번출구,서울특별시 강서구 공항대로3길 18,10,37.56155,126.810478
강서구,1153, 발산역 2번출구,서울특별시 강서구 공항대로 281,10,37.55891,126.838097
강서구,1155, 기쁜우리복지관,서울특별시 강서구 가양동 1458-15 ,10,37.56926,126.848419
강서구,1158, 가양역 8번출구,서울특별시 강서구 양천로 지하 485,10,37.565853,126.846596
강서구,1159, 서서울모터리움앞,서울특별시 강서구 양천로53길 30,20,37.565853,126.846596
강서구,1160, 양천향교역 7번출구앞,서울특별시 강서구 양천로 지하 341,20,37.56768,126.840897
강서구,1161, 강서면허시험장앞,서울특별시 강서구 남부순환로 171,10,37.549694,126.819664
강서구,1162, 공항초등학교건너편,서울특별시 강서구 마곡서1로 68,10,37.562679,126.820473
강서구,1163, 방화동강서기동대앞,서울특별시 강서구 방화대로34길 65,10,37.570499,126.820084
강서구,1166, 강서구립등빛도서관,서울특별시 강서구 강서로62길 48,10,37.562569,126.842461
관악구,2102, 봉림교 교통섬,서울특별시 관악구 관천로 52,20,37.48423,126.926392
관악구,2103, 신림동 우방아파트,서울특별시 관악구 관천로27길 2,10,37.489178,126.919273
관악구,2104, 사당역 5번출구,서울특별시 동작구 남부순환로 지하 2089,13,37.476089,126.981331
관악구,2105, 미성동 신림체육센터,서울특별시 관악구 난곡로 295,12,37.480251,126.914604
관악구,2106, 난곡 새마을금고,서울특별시 관악구 난곡로 210,12,37.473728,126.918404
관악구,2107, 도림천 신화교,서울특별시 관악구 신림로 40,25,37.475471,126.936455
관악구,2108, 은천치안센터,서울특별시 관악구 봉천로 375,20,37.483341,126.943199
관악구,2109, 은천로입구 가로공원,서울특별시 양천구 가로공원로 지하 133,15,37.486225,126.935829
관악구,2110, 조원동 미성아파트,서울특별시 관악구 시흥대로 560,9,37.483192,126.902031
관악구,2111, 서울대입구역 1번출구,서울특별시 관악구 남부순환로 1830,10,37.480869,126.953316
관악구,2112, 서울대입구역 마에스트로,서울특별시 관악구 남부순환로 지하 1822,15,37.481339,126.950645
관악구,2113, 관악동작견인차량보관소,서울특별시 관악구 신사로 7,10,37.484661,126.9039
관악구,2115, 관악농협농산물백화점,서울특별시 관악구 남부순환로 1369,15,37.479916,126.90284
관악구,2116, 에이스에이존빌딩,서울특별시 관악구 남부순환로 지하 1822,9,37.481705,126.950829
관악구,2119, 중앙동 동진빌딩,서울특별시 관악구 관악로 217,10,37.484257,126.954697
관악구,2122, 낙성대로 입구,서울특별시 관악구 남부순환로 1889,20,37.478058,126.960495
관악구,2127, 보성운수차고지 맞은편,서울특별시 관악구 난곡로 99,10,37.464886,126.919479
관악구,2128, 관악구청교차로,서울특별시 관악구 관악로 153,12,37.479164,126.952583
관악구,2129, 낙성대 과학전시관,서울특별시 관악구 낙성대로 101,10,37.469055,126.958145
관악구,2130, 영어마을 관악캠프,서울특별시 관악구 낙성대로 70,15,37.47197,126.958763
관악구,2135, 신림역 5번출구,서울특별시 관악구 남부순환로 지하 1614,11,37.484409,126.928909
관악구,2136, 신림역 8번출구,서울특별시 관악구 신림로 340,10,37.484577,126.929916
관악구,2137, KT&G 관악지점,서울특별시 관악구 남부순환로 1675,10,37.484901,126.936531
관악구,2140, 신림1교 교차로,서울특별시 관악구 신림로 270,12,37.478428,126.931862
관악구,2141, 미림여고입구 교차로,서울특별시 관악구 신림로 137,12,37.472294,126.933411
관악구,2143, 서울산업정보학교,서울특별시 관악구 신림로 67,10,37.470695,126.9422
관악구,2144, 난우길입구,서울특별시 관악구 문성로 115,15,37.477776,126.916756
관악구,2145, 은천초등학교 육교,서울특별시 관악구 은천로 69,12,37.486359,126.942924
관악구,2148, 낙성대역 3번출구 뒤,서울특별시 관악구 남부순환로 지하 1928,10,37.477028,126.963394
관악구,2153, 서울남부초등학교 옆,서울특별시 관악구 남부순환로163가길 20,10,37.485142,126.920563
관악구,2156, 농협 관악문성지점,서울특별시 금천구 남부순환로 1428,12,37.480721,126.909325
관악구,2157, 난곡 사거리,서울특별시 관악구 난곡로 317,10,37.4818,126.915237
관악구,2159, 인헌초교,서울특별시 관악구 봉천동 244-1 ,10,37.47509,126.959229
관악구,2164, 관악우체국,서울특별시 관악구 남부순환로 1641,8,37.484768,126.932877
